"","GBM8","GSC17","GSC20","GSC627","GSC23","GSC2","GSC11","GSC35","GSC38","GSC710","GSC811","GSC34","GSC28","GSC72","GSC231","GSC262","GSC264","GSC267","GSC268","GSC272","GSC274","GSC285","GSC295","GSC300"
"erlotinib_gemcitabine",0.65,4.72,7.06,5.34,4.73,2.75,0.55,10.1,0.32,0.82,13.74,0.43,1.16,2.93,14.95,1.97,7.34,2.14,20.01,0.8,16.47,18.57,8.89,2.56
"erlotinib_obatoclax",4.71,13.24,2.24,5.15,6.96,2.51,1.54,3.35,2.97,0.94,18.65,11.77,1.3,12.13,8.28,2.65,5.21,6.1,8.14,3.06,13.45,17.42,2.49,5.89
"erlotinib_thapsigargin",3.67,20.71,1.68,4.45,2.74,2.19,3.54,4.27,2.72,1.4,6.99,1.52,6.9,5.26,5.11,9.61,2.99,2.46,10.36,7.09,4.85,4.95,5.63,6.18
"erlotinib_vinorelbine",0.93,8.38,10.72,1.81,3.91,3.08,0.14,2.86,1.49,2.84,9.91,2.32,1.72,7.64,3.88,18.09,10.69,5.35,10.57,11.31,16.19,14.25,1.19,1.56
"lapatinib_gemcitabine",1.09,2.95,1.48,0.85,14.01,1.45,3.98,3.56,1.3,0.4,4.86,0.43,3.01,2.23,10.35,0.26,9.37,0.65,13.89,1.53,20.81,11.59,7.86,3.07
"lapatinib_obatoclax",18.25,27.45,9.26,11.34,8.02,5.02,2.72,13.61,11.84,8.25,28.98,11.77,8.02,29.89,7.04,7.74,13.19,17.18,14.75,10.09,22.46,13.17,16.37,18.66
"lapatinib_thapsigargin",11.11,24.29,11.2,7.57,7.15,9.5,12.37,19.12,2.97,2.47,17.98,6.09,20.65,7.18,12.98,10.29,7.47,11.83,9.15,5.99,9.07,23.96,6.03,8.33
"lapatinib_tipifarnib",16.82,20.39,11.68,2.9,3.46,25.49,0,8.34,9.89,0.26,2.96,12.01,6.5,8.81,3.67,0.99,4.77,6.67,8,8.66,18.61,6.21,4.85,2.57
"lapatinib_vinorelbine",5.31,6.28,7.33,0.63,5.83,3.27,1.97,1.35,8.3,2.8,4.92,2.32,1.27,14.61,5.77,1.99,10.81,23.99,9.83,8.48,12.18,25.93,21.45,6.22
"pazopanib_gemcitabine",1.15,0.38,4.37,0.7,2.3,1.46,0.98,1.09,0.33,0.23,0.48,0.52,4.12,0.35,3.3,24.02,2.46,1.99,1.7,3.22,3.73,1.91,2.16,1.05
"pazopanib_tipifarnib",10.09,0.38,4.52,3.1,1.58,7.37,1.92,1.98,18.2,2.55,3.12,8.4,1.12,0.69,8.09,0.72,4.75,12.27,0.92,7.76,13.62,4.11,1.02,1.78
"sunitinib_gemcitabine",1.39,2.02,8.96,3.81,9.43,9.1,3.09,0.41,3.58,0.92,2.02,0.89,1.78,1.16,11.37,1.65,2.43,3.2,0.7,3.12,19.26,3.16,15.26,1.71
"sunitinib_tipifarnib",4.83,8.05,0.43,4.73,2.65,15.19,1.31,0.73,3.15,5.65,0.19,8.47,7.61,4.61,2.55,7.79,2.59,5.58,2.66,4.76,10.06,4.05,6.1,0.54
