"","rho","p.val","cellLine"
"rho",0.263736263736264,0.383492243739665,"GBM8"
"rho1",0.685007525611508,0.00977674589945202,"GSC17"
"rho2",0.0769230769230769,0.806530367444286,"GSC20"
"rho3",0.302197802197802,0.315390822214927,"GSC627"
"rho4",0.384615384615385,0.195502283663209,"GSC23"
"rho5",-0.340659340659341,0.254997689115259,"GSC2"
"rho6",0.368131868131868,0.216629806809432,"GSC11"
"rho7",0.664835164835165,0.0159954704319689,"GSC35"
"rho8",-0.0302613766334401,0.921824291613171,"GSC38"
"rho9",0.043956043956044,0.891846567393224,"GSC710"
"rho10",0.78021978021978,0.00262061732337991,"GSC811"
"rho11",0.21517425595871,0.48019578722426,"GSC34"
"rho12",0.208791208791209,0.493486137243575,"GSC28"
"rho13",0.659340659340659,0.017130288185381,"GSC72"
"rho14",0.247252747252747,0.414969916573171,"GSC231"
"rho15",0.10989010989011,0.723248148906413,"GSC262"
"rho16",0.527472527472527,0.0673418377599846,"GSC264"
"rho17",0.225274725274725,0.458991989586345,"GSC267"
"rho18",0.538461538461538,0.0610936374942775,"GSC268"
"rho19",0.0824175824175824,0.792485539146813,"GSC272"
"rho20",-0.032967032967033,0.920585447351698,"GSC274"
"rho21",0.604395604395604,0.0321195118097018,"GSC285"
"rho22",0.153846153846154,0.616791174982918,"GSC295"
"rho23",0.868131868131868,0.000124577267154328,"GSC300"
