"","prop_AC","prop_MES","prop_NPC","prop_OPC","prop_G1","prop_S","prop_G2M","mean_cytoTRACE"
"GBM21_k1",0.312,0.6,0.076,0.012,0.928,0.044,0.028,0.390226226226226
"GBM21_k2",0.688259109311741,0.214574898785425,0.0890688259109312,0.00809716599190283,0.927125506072874,0.0526315789473684,0.0202429149797571,0.664563348773875
"GBM21_k3",0.211221122112211,0.732673267326733,0.0528052805280528,0.0033003300330033,0.0792079207920792,0.524752475247525,0.396039603960396,0.531700016848532
"GBM21_k4",0.415,0.51,0.07,0.005,0.545,0.3,0.155,0.514309309309309
"GBM21_k5",0.596938775510204,0.306122448979592,0.0918367346938776,0.00510204081632653,0.974489795918367,0.0255102040816327,0,0.609849645563931
"GBM21_k6",0.209039548022599,0.694915254237288,0.0790960451977401,0.0169491525423729,0.564971751412429,0.231638418079096,0.203389830508475,0.291421364867693
"GBM21_k7",0.52,0.405714285714286,0.04,0.0342857142857143,0.657142857142857,0.251428571428571,0.0914285714285714,0.628891748891749
"GBM41_k1",0.0555555555555556,0.198765432098765,0.244444444444444,0.501234567901235,0.0506172839506173,0.492592592592593,0.45679012345679,0.733128189918313
"GBM41_k2",0.183358246138515,0.192326856003986,0.325361235675137,0.298953662182362,0.828599900348779,0.0503238664673642,0.121076233183857,0.494670056204685
"GBM41_k3",0.112881806108898,0.224435590969456,0.328021248339973,0.334661354581673,0.144754316069057,0.466135458167331,0.389110225763612,0.505355288887825
"GBM41_k4",0.206405693950178,0.234163701067616,0.286120996441281,0.273309608540925,0.923131672597865,0.0327402135231317,0.0441281138790036,0.550852631991422
"GBM41_k5",0.17820324005891,0.265095729013255,0.27540500736377,0.281296023564065,0.393225331369661,0.303387334315169,0.303387334315169,0.559783642257869
"GBM41_k6",0.148367952522255,0.200296735905045,0.344213649851632,0.307121661721068,0.937685459940653,0.0192878338278932,0.043026706231454,0.546486397376605
"GBM41_k7",0.122162162162162,0.28,0.281081081081081,0.316756756756757,0.496216216216216,0.244324324324324,0.259459459459459,0.617354651949247
"GBM47_k1",0.682437275985663,0.310394265232975,0.00716845878136201,0,0.925448028673835,0.0587813620071685,0.0157706093189964,0.485084367521644
"GBM47_k2",0.475247524752475,0.513437057991513,0.0113154172560113,0,0.456859971711457,0.349363507779349,0.193776520509194,0.37039231593687
"GBM47_k3",0.695887445887446,0.29978354978355,0.00432900432900433,0,0.753246753246753,0.16991341991342,0.0768398268398268,0.558272558272558
"GBM47_k4",0.568056648308419,0.423288749016522,0.00629425649095201,0.002360346184107,0.956726986624705,0.022029897718332,0.021243115656963,0.389454757668762
"GBM47_k5",0.50503355704698,0.493288590604027,0.00167785234899329,0,0.837248322147651,0.119127516778523,0.0436241610738255,0.422612209524961
"GBM47_k6",0.600931677018634,0.392857142857143,0.0062111801242236,0,0.347826086956522,0.470496894409938,0.18167701863354,0.522864479386218
"GBM47_k7",0.469740634005764,0.530259365994236,0,0,0.0489913544668588,0.763688760806916,0.187319884726225,0.684554871874757
"GBM49_k1",0.803909590714722,0.0610873549175321,0.0103848503359805,0.124618204031765,0.864996945632254,0.0763591936469151,0.0586438607208308,0.472899289026351
"GBM49_k2",0.746594005449591,0.0463215258855586,0.0217983651226158,0.185286103542234,0.43732970027248,0.381471389645777,0.181198910081744,0.431574626397515
"GBM49_k3",0.753527751646284,0.026340545625588,0.0202257761053622,0.199905926622766,0.984007525870179,0.00893697083725306,0.0070555032925682,0.440902332247582
"GBM49_k4",0.795634920634921,0.0661375661375661,0.0132275132275132,0.125,0.982804232804233,0.0119047619047619,0.00529100529100529,0.500597820042264
"GBM49_k5",0.774539877300613,0.0191717791411043,0.0329754601226994,0.173312883435583,0.88420245398773,0.0414110429447853,0.0743865030674847,0.38181432966709
"GBM49_k6",0.673130193905817,0.177285318559557,0.00831024930747922,0.141274238227147,0.60387811634349,0.265927977839335,0.130193905817175,0.552785472453063
"GBM49_k7",0.743987587276959,0.0473235065942591,0.0271528316524438,0.181536074476338,0.989138867339022,0.00775795190069822,0.00310318076027929,0.463808261325717
"GBM51_k1",0.180537772087068,0.297055057618438,0.329065300896287,0.193341869398207,0.526248399487836,0.160051216389245,0.313700384122919,0.603536955649632
"GBM51_k2",0.260056127221703,0.699719363891487,0.0233863423760524,0.0168381665107577,0.872778297474275,0.00748362956033676,0.119738072965388,0.491632886394346
"GBM51_k3",0.189950980392157,0.798406862745098,0.00919117647058824,0.00245098039215686,0.536764705882353,0.0349264705882353,0.428308823529412,0.485722241849693
"GBM51_k4",0.222410865874363,0.724957555178268,0.0220713073005093,0.0305602716468591,0.808149405772496,0.0254668930390492,0.166383701188455,0.521618392586135
"GBM51_k5",0.18013856812933,0.542725173210162,0.159353348729792,0.117782909930716,0.242494226327945,0.267898383371824,0.489607390300231,0.56306884251457
"GBM51_k6",0.237136465324385,0.480984340044743,0.174496644295302,0.10738255033557,0.939597315436242,0.00671140939597315,0.0536912751677852,0.553589383567012
"GBM51_k7",0.0841423948220065,0.161812297734628,0.508090614886731,0.245954692556634,0.741100323624595,0.058252427184466,0.200647249190939,0.696848952512383
"GBM53_k1",0.631067961165049,0.354368932038835,0.0113268608414239,0.00323624595469256,0.948220064724919,0.0323624595469256,0.0194174757281553,0.556443174566152
"GBM53_k2",0.709239130434783,0.28804347826087,0.00271739130434783,0,0.951086956521739,0.0353260869565217,0.0135869565217391,0.584037842190016
"GBM53_k3",0.377862595419847,0.614503816793893,0.00763358778625954,0,0.83206106870229,0.0534351145038168,0.114503816793893,0.404129320159855
"GBM53_k4",0.575657894736842,0.421052631578947,0.00328947368421053,0,0.766447368421053,0.154605263157895,0.0789473684210526,0.577999051683262
"GBM53_k5",0.461538461538462,0.538461538461538,0,0,0.724080267558528,0.132107023411371,0.1438127090301,0.543411304280869
